DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-11-07	32996047	Alsubaie LM	2020-09-29	Mol Biol Rep	www.ncbi.nlm.nih.gov/pubmed/32996047	Risk Y-haplotypes and pathogenic variants of Arab-ancestry boys with autism by an exome-wide association study.	Autism	47 Saudi Arab ancestry young male cases, 43 Saudi Arab ancestry young male controls	NA	Yp11.2	Y	6885470	intergenic	AMELY			ENSG00000099721			rs978597-G	rs9785971	0	9785971	intron_variant	0	0.167	7E-8	7.154901959985743		22.4151	[5.1219-98.0966]	Illumina [243345]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST010733	Exome genotyping array [Exome array]
2020-11-07	32996047	Alsubaie LM	2020-09-29	Mol Biol Rep	www.ncbi.nlm.nih.gov/pubmed/32996047	Risk Y-haplotypes and pathogenic variants of Arab-ancestry boys with autism by an exome-wide association study.	Autism	47 Saudi Arab ancestry young male cases, 43 Saudi Arab ancestry young male controls	NA	Yp11.2	Y	7000077	TBL1Y	TBL1Y			ENSG00000092377			rs1865680-G	rs1865680	0	1865680	intron_variant	0	0.174	2E-8	7.698970004336019		24.6226	[5.6469-107.3643]	Illumina [243345]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST010733	Exome genotyping array [Exome array]
2020-11-07	32996047	Alsubaie LM	2020-09-29	Mol Biol Rep	www.ncbi.nlm.nih.gov/pubmed/32996047	Risk Y-haplotypes and pathogenic variants of Arab-ancestry boys with autism by an exome-wide association study.	Autism	47 Saudi Arab ancestry young male cases, 43 Saudi Arab ancestry young male controls	NA	Yq11.221	Y	12914512	DDX3Y	DDX3Y			ENSG00000067048			rs2032624-A	rs2032624	0	2032624	intron_variant	0	0.165	2E-8	7.698970004336019		20.8868	[4.7675-91.5071]	Illumina [243345]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST010733	Exome genotyping array [Exome array]
2020-11-07	32996047	Alsubaie LM	2020-09-29	Mol Biol Rep	www.ncbi.nlm.nih.gov/pubmed/32996047	Risk Y-haplotypes and pathogenic variants of Arab-ancestry boys with autism by an exome-wide association study.	Autism	47 Saudi Arab ancestry young male cases, 43 Saudi Arab ancestry young male controls	NA	Yq11.221	Y	13470103	UTY	UTY			ENSG00000183878			rs2032658-A	rs2032658	0	2032658	intron_variant	0	0.155	3E-9	8.522878745280337		46.3585	[6.1221-351.0397]	Illumina [243345]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST010733	Exome genotyping array [Exome array]
2020-11-07	32996047	Alsubaie LM	2020-09-29	Mol Biol Rep	www.ncbi.nlm.nih.gov/pubmed/32996047	Risk Y-haplotypes and pathogenic variants of Arab-ancestry boys with autism by an exome-wide association study.	Autism	47 Saudi Arab ancestry young male cases, 43 Saudi Arab ancestry young male controls	NA	Yq11.223	Y	19705901	KDM5D	KDM5D			ENSG00000012817			rs2032631-G	rs2032631	0	2032631	3_prime_UTR_variant	0	0.174	2E-8	7.698970004336019		24.2308	[5.5455-105.8754]	Illumina [243345]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST010733	Exome genotyping array [Exome array]
2020-11-07	32996047	Alsubaie LM	2020-09-29	Mol Biol Rep	www.ncbi.nlm.nih.gov/pubmed/32996047	Risk Y-haplotypes and pathogenic variants of Arab-ancestry boys with autism by an exome-wide association study.	Autism	47 Saudi Arab ancestry young male cases, 43 Saudi Arab ancestry young male controls	NA	Yq11.223	Y	20577481	EIF1AY	EIF1AY			ENSG00000198692			rs9786153-T	rs9786153	0	9786153	intron_variant	0	0.151	3E-9	8.522878745280337		1.7955	[0.1597-20.1843]	Illumina [243345]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST010733	Exome genotyping array [Exome array]
2015-06-18	25534755	Chaste P	2014-09-30	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/25534755	A genome-wide association study of autism using the Simons Simplex Collection: Does reducing phenotypic heterogeneity in autism increase genetic homogeneity?	Autism spectrum disorder-related traits	1633 European ancestry trios, 942 trios	NA	13q33.3	13	109501681	intergenic							rs4773054-?	rs4773054	0	4773054	intron_variant	1	NR	7E-8	7.154901959985743	(Autism paternal model)	2.9	[1.91-4.39]	Illumina [up to 2017939]	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST002639	Genome-wide genotyping array
2014-07-23	24189344	Xia K	2013-11-05	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24189344	Common genetic variants on 1p13.2 associate with risk of autism.	Autism	275 Chinese ancestry cases and 550 Chinese ancestry controls from 275 trios, 136 Chinese ancestry cases, 984 Chinese ancestry controls	1,299 European ancestry cases and 2,598 European ancestry controls from 1,299 trios	1p13.2	1	114716978	AMPD1, NRAS, CASDE1	CSDE1; No mapped genes						rs8453-G; rs926938-A	rs8453; rs926938	0		3_prime_UTR_variant; intergenic_variant		0.481	3E-8	7.522878745280337				Illumina [702234] (imputed)	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST002268	Genome-wide genotyping array
2014-07-23	24189344	Xia K	2013-11-05	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24189344	Common genetic variants on 1p13.2 associate with risk of autism.	Autism	275 Chinese ancestry cases and 550 Chinese ancestry controls from 275 trios, 136 Chinese ancestry cases, 984 Chinese ancestry controls	1,299 European ancestry cases and 2,598 European ancestry controls from 1,299 trios	1p13.2	1	114556471	TRIM33, BCAS2	PKMP1 - BCAS2; No mapped genes						rs1877455-T; rs11587400-C	rs1877455; rs11587400	0		intergenic_variant; non_coding_transcript_exon_variant		0.449	7E-8	7.154901959985743				Illumina [702234] (imputed)	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST002268	Genome-wide genotyping array
2014-07-23	24189344	Xia K	2013-11-05	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24189344	Common genetic variants on 1p13.2 associate with risk of autism.	Autism	275 Chinese ancestry cases and 550 Chinese ancestry controls from 275 trios, 136 Chinese ancestry cases, 984 Chinese ancestry controls	1,299 European ancestry cases and 2,598 European ancestry controls from 1,299 trios				TRIM33, BCAS2, DENND2C							rs6537825-A	rs6537825	0	6537825	missense_variant	1	NR	3E-8	7.522878745280337		1.4	[NR]	Illumina [702234] (imputed)	N	autism	http://www.ebi.ac.uk/efo/EFO_0003758	GCST002268	Genome-wide genotyping array
